Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Date,,,,,
1981-03-23,7293.56982421875,7293.56982421875,7293.56982421875,7293.56982421875,0
1981-03-24,7318.18994140625,7318.18994140625,7318.18994140625,7318.18994140625,0
1981-03-25,7325.9599609375,7325.9599609375,7325.9599609375,7325.9599609375,0
1981-03-26,7307.27001953125,7307.27001953125,7307.27001953125,7307.27001953125,0
1981-03-27,7303.0400390625,7303.0400390625,7303.0400390625,7303.0400390625,0
1981-03-30,7304.68994140625,7304.68994140625,7304.68994140625,7304.68994140625,0
1981-03-31,7334.31005859375,7334.31005859375,7334.31005859375,7334.31005859375,0
1981-04-01,7389.990234375,7389.990234375,7389.990234375,7389.990234375,0
1981-04-02,7416.97021484375,7416.97021484375,7416.97021484375,7416.97021484375,0
1981-04-03,7421.18994140625,7421.18994140625,7421.18994140625,7421.18994140625,0
1981-04-06,7447.740234375,7447.740234375,7447.740234375,7447.740234375,0
1981-04-07,7458.35986328125,7458.35986328125,7458.35986328125,7458.35986328125,0
1981-04-08,7508.52001953125,7508.52001953125,7508.52001953125,7508.52001953125,0
1981-04-09,7491.81982421875,7491.81982421875,7491.81982421875,7491.81982421875,0
1981-04-10,7517.31005859375,7517.31005859375,7517.31005859375,7517.31005859375,0
1981-04-13,7536.9599609375,7536.9599609375,7536.9599609375,7536.9599609375,0
1981-04-14,7514.8798828125,7514.8798828125,7514.8798828125,7514.8798828125,0
1981-04-15,7461.2001953125,7461.2001953125,7461.2001953125,7461.2001953125,0
1981-04-16,7418.740234375,7418.740234375,7418.740234375,7418.740234375,0
1981-04-17,7438.7998046875,7438.7998046875,7438.7998046875,7438.7998046875,0
1981-04-20,7484.7099609375,7484.7099609375,7484.7099609375,7484.7099609375,0
1981-04-21,7497.35986328125,7497.35986328125,7497.35986328125,7497.35986328125,0
1981-04-22,7533.22021484375,7533.22021484375,7533.22021484375,7533.22021484375,0
1981-04-23,7523.72021484375,7523.72021484375,7523.72021484375,7523.72021484375,0
1981-04-24,7534.41015625,7534.41015625,7534.41015625,7534.41015625,0
1981-04-27,7588.02978515625,7588.02978515625,7588.02978515625,7588.02978515625,0
1981-04-28,7623.81005859375,7623.81005859375,7623.81005859375,7623.81005859375,0
1981-04-30,7674.18994140625,7674.18994140625,7674.18994140625,7674.18994140625,0
1981-05-01,7575.60986328125,7575.60986328125,7575.60986328125,7575.60986328125,0
1981-05-06,7465.2998046875,7465.2998046875,7465.2998046875,7465.2998046875,0
1981-05-07,7440.52001953125,7440.52001953125,7440.52001953125,7440.52001953125,0
1981-05-08,7495.25,7495.25,7495.25,7495.25,0
1981-05-11,7551.18994140625,7551.18994140625,7551.18994140625,7551.18994140625,0
1981-05-12,7480.240234375,7480.240234375,7480.240234375,7480.240234375,0
1981-05-13,7390.64013671875,7390.64013671875,7390.64013671875,7390.64013671875,0
1981-05-14,7467.4501953125,7467.4501953125,7467.4501953125,7467.4501953125,0
1981-05-15,7486.83984375,7486.83984375,7486.83984375,7486.83984375,0
1981-05-18,7451.89013671875,7451.89013671875,7451.89013671875,7451.89013671875,0
1981-05-19,7264.009765625,7264.009765625,7264.009765625,7264.009765625,0
1981-05-20,7371.27001953125,7371.27001953125,7371.27001953125,7371.27001953125,0
1981-05-21,7487.4599609375,7487.4599609375,7487.4599609375,7487.4599609375,0
1981-05-22,7541.02001953125,7541.02001953125,7541.02001953125,7541.02001953125,0
1981-05-25,7560.77001953125,7560.77001953125,7560.77001953125,7560.77001953125,0
1981-05-26,7576.18017578125,7576.18017578125,7576.18017578125,7576.18017578125,0
1981-05-27,7529.2001953125,7529.2001953125,7529.2001953125,7529.2001953125,0
